Petition,URL,State,Signatures Count
Protect the Environment – support carbon neutral energy alternatives,https://petition.parliament.uk/petitions/300000,open,669
Give holiday caravan/lodge owners the same statutory protection as mobile homes.,https://petition.parliament.uk/petitions/300007,open,3202
"Fern’s Law: Compulsory to scan & check microchips to reunite stolen dogs, cats.",https://petition.parliament.uk/petitions/300010,open,14939
Sol’s Law – Create a new offence and tougher penalties for attacking animals. ,https://petition.parliament.uk/petitions/300015,open,1395
Return the Parthenon Marbles via the establishment of a new independent body,https://petition.parliament.uk/petitions/300016,open,164
Bring the pay scales of Crime Scene Investigators in line with police officers. ,https://petition.parliament.uk/petitions/300018,open,254
Revoke the Health and Social Care Act 2012 and renationalise the NHS,https://petition.parliament.uk/petitions/300019,open,130
Prohibit MPs from voting in parliament when under the influence of alcohol,https://petition.parliament.uk/petitions/300021,open,252
Vets to scan prior to euthanasia for Rescue Back up and confirm keeper details,https://petition.parliament.uk/petitions/300025,open,17868
Hold a referendum on the post-2020 UK-EU relationship with option to rejoin EU,https://petition.parliament.uk/petitions/300026,open,3022
Fund research for childhood cancers with the worst survival rates,https://petition.parliament.uk/petitions/300027,open,17900
Repeal the Vagrancy Act of 1824,https://petition.parliament.uk/petitions/300029,open,48
Pay Carers an allowance equivalent to a fulltime job at the National Living wage,https://petition.parliament.uk/petitions/300032,open,7482
Fund Kuvan (sapropterin) on the NHS for people with PKU,https://petition.parliament.uk/petitions/300034,open,17190
Hold a referendum for devolution in the North of England,https://petition.parliament.uk/petitions/300039,open,38
Make it compulsory for all leisure centres to carry out checks under Sarah's law,https://petition.parliament.uk/petitions/300041,open,1214
Legal rights for ancient trees,https://petition.parliament.uk/petitions/300050,open,5579
"Require restaurants to show total prices, inclusive of service charges, in menus",https://petition.parliament.uk/petitions/300052,open,81
"Introduce a minimum sentence for carrying a knife, equal to carrying a firearm.",https://petition.parliament.uk/petitions/300054,open,13933
Coroners must be lawfully obligated to statistically record veteran suicides,https://petition.parliament.uk/petitions/300055,open,7527
Allow those who suffer from Coeliac Disease to join the Armed Forces,https://petition.parliament.uk/petitions/300056,open,245
Remove the East Anglia franchise from the Greater Anglia company,https://petition.parliament.uk/petitions/300057,open,322
"New ""UK Person"" status for nationals of countries that prohibit dual nationality",https://petition.parliament.uk/petitions/300058,open,328
Publish the Russia report,https://petition.parliament.uk/petitions/300059,open,54135
Make chronic kidney disease testing available for all new-borns. ,https://petition.parliament.uk/petitions/300061,open,650
Give consumers a statutory right to opt out of receiving paper correspondence,https://petition.parliament.uk/petitions/300064,open,32
Make the 6 Nations a culturally protected event.,https://petition.parliament.uk/petitions/300069,open,7308
Make pet theft crime a specific offence with custodial sentences.,https://petition.parliament.uk/petitions/300071,open,13512
Increase pay for NHS healthcare workers and recognise their work,https://petition.parliament.uk/petitions/300073,open,6366
"Change the law covering sale of services to preclude ""automatic renewal clause""",https://petition.parliament.uk/petitions/300074,open,93
Hold an inquiry into how the police handle historic sexual abuse cases.,https://petition.parliament.uk/petitions/300075,open,318
"Regulate wildlife food so it’s safer for our UK hedgehogs, mammals & birds",https://petition.parliament.uk/petitions/300077,open,1335
No capital gains tax on money used for social care fees,https://petition.parliament.uk/petitions/300078,open,10
Reduce student debt for student nurses and midwives,https://petition.parliament.uk/petitions/300079,open,4155
End 'other children a paying parent supports' deductions to Child Maintenance.,https://petition.parliament.uk/petitions/300088,open,64
Give the British Nationals (Overseas) of Hong Kong full British citizenship.,https://petition.parliament.uk/petitions/300091,open,5501
MPs resigning or leaving their political party should trigger a by election. ,https://petition.parliament.uk/petitions/300092,open,69
"We call on DEFRA, to reinstate the ban on the use of metaldehyde slug pellets.",https://petition.parliament.uk/petitions/300098,open,5124
Make Hedgehogs a Protected Species,https://petition.parliament.uk/petitions/300100,open,43169
Introduce Mandatory Ethnicity Pay Gap Reporting,https://petition.parliament.uk/petitions/300105,open,1257
Suspend sanctions against Iran for the duration of the coronavirus pandemic,https://petition.parliament.uk/petitions/300109,open,12752
Schedule General Elections to be every 4 years.,https://petition.parliament.uk/petitions/300112,open,76
Sack South Western Railway and hand over running of South Western to TfL,https://petition.parliament.uk/petitions/300113,open,442
Make it an offence to create & distribute fakenews for political/financial gain,https://petition.parliament.uk/petitions/300115,open,149
Revoke the TV licence using legislation,https://petition.parliament.uk/petitions/300118,open,6135
Fund more school places for children with SEN,https://petition.parliament.uk/petitions/300119,open,275
Decrease the Foreign Aid budget once we have left the EU.,https://petition.parliament.uk/petitions/300120,open,198
Highway Code Rules 163 and 215 to be made law. Pass horses wide and slow. ,https://petition.parliament.uk/petitions/300122,open,16395
CANZUK: Enter talks with Australia to join the Trans-Tasman Travel Agreement,https://petition.parliament.uk/petitions/300123,open,363
Access Protection Markings to be Enforced by Law,https://petition.parliament.uk/petitions/300127,open,21
Review the National Curriculum for history & include the Holocaust as a subject,https://petition.parliament.uk/petitions/300133,open,56
The Legalisation of Euthanasia in the UK,https://petition.parliament.uk/petitions/300134,open,744
Don’t criminalise trespass,https://petition.parliament.uk/petitions/300139,open,16999
Impose sanctions on China over its treatment of Uyghur Muslims,https://petition.parliament.uk/petitions/300146,open,288
"Allow child benefit to be claimed on household income, not individual income.",https://petition.parliament.uk/petitions/300149,open,156
Ban all single use plastic,https://petition.parliament.uk/petitions/300152,open,815
