Petition,URL,State,Signatures Count
Protect the Environment – support carbon neutral energy alternatives,https://petition.parliament.uk/petitions/300000,open,1565
Give holiday caravan/lodge owners the same statutory protection as mobile homes.,https://petition.parliament.uk/petitions/300007,open,12815
"Fern’s Law: Compulsory to scan & check microchips to reunite stolen dogs, cats.",https://petition.parliament.uk/petitions/300010,open,107826
Sol’s Law – Create a new offence and tougher penalties for attacking animals. ,https://petition.parliament.uk/petitions/300015,open,1927
Return the Parthenon Marbles via the establishment of a new independent body,https://petition.parliament.uk/petitions/300016,open,287
Bring the pay scales of Crime Scene Investigators in line with police officers. ,https://petition.parliament.uk/petitions/300018,open,267
Revoke the Health and Social Care Act 2012 and renationalise the NHS,https://petition.parliament.uk/petitions/300019,open,30410
Prohibit MPs from voting in parliament when under the influence of alcohol,https://petition.parliament.uk/petitions/300021,open,388
Vets to scan prior to euthanasia for Rescue Back up and confirm keeper details,https://petition.parliament.uk/petitions/300025,open,102858
Hold a referendum on the post-2020 UK-EU relationship with option to rejoin EU,https://petition.parliament.uk/petitions/300026,open,6221
Fund research for childhood cancers with the worst survival rates,https://petition.parliament.uk/petitions/300027,open,108882
Repeal the Vagrancy Act of 1824,https://petition.parliament.uk/petitions/300029,open,108
Pay Carers an allowance equivalent to a fulltime job at the National Living wage,https://petition.parliament.uk/petitions/300032,open,18951
Fund Kuvan (sapropterin) on the NHS for people with PKU,https://petition.parliament.uk/petitions/300034,open,19690
Hold a referendum for devolution in the North of England,https://petition.parliament.uk/petitions/300039,open,67
Make it compulsory for all leisure centres to carry out checks under Sarah's law,https://petition.parliament.uk/petitions/300041,open,1398
Legal rights for ancient trees,https://petition.parliament.uk/petitions/300050,open,16876
"Require restaurants to show total prices, inclusive of service charges, in menus",https://petition.parliament.uk/petitions/300052,open,104
"Introduce a minimum sentence for carrying a knife, equal to carrying a firearm.",https://petition.parliament.uk/petitions/300054,open,18046
Coroners must be lawfully obligated to statistically record veteran suicides,https://petition.parliament.uk/petitions/300055,open,8029
Allow those who suffer from Coeliac Disease to join the Armed Forces,https://petition.parliament.uk/petitions/300056,open,350
Remove the East Anglia franchise from the Greater Anglia company,https://petition.parliament.uk/petitions/300057,open,336
"New ""UK Person"" status for nationals of countries that prohibit dual nationality",https://petition.parliament.uk/petitions/300058,open,587
Publish the Russia report,https://petition.parliament.uk/petitions/300059,open,105216
